x0,xf,f,nit,grad_norm,success
"(-100, -100)",[ 4.66165719e-07 -6.11749917e+07],-3.1415926208964784,66,9.323314382545879e-07,True
"(-100, -90)",[-3.21391930e-06 -1.62377892e+07],-3.141592530409991,61,6.427838588847209e-06,True
"(-100, -80)",[ 1.66560468e-06 -1.30406913e+07],-3.1415925002209226,60,3.3312093629532986e-06,True
"(-100, -70)",[-7.21722062e-08 -1.33806594e+07],-3.1415925041203288,60,1.4434440114765604e-07,True
"(-100, -60)",[-4.30176731e-06 -3.43626943e+06],-3.1415920715448347,55,8.603534453430448e-06,True
"(-100, -50)",[-1.13346695e-06 -9.05127964e+05],-3.1415904439574116,50,2.266931455185875e-06,True
"(-100, -40)",[-9.13255079e-07 -2.13836812e+06],-3.1415917182965196,55,1.8265097214608787e-06,True
"(-100, -30)",[-5.38951447e-07 -6.81647451e+07],-3.1415926242488226,67,1.0779028932873376e-06,True
"(-100, -20)",[-3.05059205e-06 -1.07983140e+07],-3.141592468366396,62,6.101184084553093e-06,True
"(-100, -10)",[ 4.64308349e-07 -2.44211416e+07],-3.141592571693326,64,9.286167016011307e-07,True
"(-100, 0)",[ 1.65809046e-14 -5.56560354e+02],-3.138002356167455,24,9.114829310282614e-06,True
"(-100, 10)",[-4.35929986e-06 -6.37157377e+02],-3.138456158197096,27,6.2155552325780615e-06,True
"(-100, 20)",[ 4.78320590e-06 -3.78356926e+03],-3.1410641219430673,33,9.70708957039063e-06,True
"(-100, 30)",[-6.19949936e-07 -1.66841186e+04],-3.141472782703611,39,1.2327362932567945e-06,True
"(-100, 40)",[ 2.85533767e-06 -1.19418183e+03],-3.1399185654308774,25,7.248697896708904e-06,True
"(-100, 50)",[ 3.37733780e-06 -2.79243202e+03],-3.140876560067118,33,7.015757239811718e-06,True
"(-100, 60)",[ 3.99549454e-06 -2.47096672e+03],-3.140783417256464,32,8.32486262196974e-06,True
"(-100, 70)",[ 4.51299238e-06 -1.65245447e+03],-3.140382698033718,26,9.785398385842851e-06,True
"(-100, 80)",[ 2.78322040e-06 -2.24685315e+03],-3.140702717453897,22,5.9755695188577545e-06,True
"(-100, 90)",[-2.19894956e-06 -1.13694498e+04],-3.141416751310944,32,4.382455624725101e-06,True
"(-100, 100)",[ 4.69903851e-06 -2.78701855e+04],-3.141520893581605,41,9.400652128216361e-06,True
"(-90, -100)",[ 5.20225735e-07 -6.71996352e+07],-3.141592623827457,64,1.040451469577093e-06,True
"(-90, -90)",[ 3.77913902e-06 -1.70521594e+07],-3.1415925362883166,59,7.558278047281403e-06,True
"(-90, -80)",[ 3.33712265e-06 -4.32395361e+06],-3.141592191039058,56,6.674245397304961e-06,True
"(-90, -70)",[ 1.02025331e-06 -4.26040144e+07],-3.14159260664482,64,2.040506626543078e-06,True
"(-90, -60)",[ 3.14612213e-06 -9.42504860e+05],-3.1415905315760466,50,6.292246515126938e-06,True
"(-90, -50)",[-2.2924654e-06 -9.2019431e+05],-3.1415904801317236,50,4.584928439760288e-06,True
"(-90, -40)",[ 4.98970970e-06 -7.43655188e+05],-3.141589964148231,49,9.97942300996169e-06,True
"(-90, -30)",[ 1.00324831e-06 -5.62524550e+06],-3.1415922980487805,58,2.006496684643709e-06,True
"(-90, -20)",[-2.20855045e-06 -1.44296112e+07],-3.1415925149810464,61,4.417100890862141e-06,True
"(-90, -10)",[ 2.82298069e-06 -6.48846301e+05],-3.1415895711901123,51,5.645966127082259e-06,True
"(-90, 0)",[ 6.06079941e-15 -5.62193703e+02],-3.138038300492175,24,8.933235237891025e-06,True
"(-90, 10)",[ 1.31472817e-07 -9.33168179e+02],-3.139450560240553,28,3.4355773331020218e-06,True
"(-90, 20)",[-5.21201854e-06 -1.13864661e+03],-3.139836950714761,31,9.015507733107762e-06,True
"(-90, 30)",[-4.24039458e-06 -5.81487156e+02],-3.138156132192686,24,6.442272056801481e-06,True
"(-90, 40)",[ 3.68479459e-06 -3.80305388e+04],-3.1415400649521867,44,7.3709720920893885e-06,True
"(-90, 50)",[-3.89120719e-06 -9.33255685e+02],-3.1394507609781344,25,5.948616824772526e-06,True
"(-90, 60)",[ 4.12364096e-06 -1.09258475e+03],-3.139762966333083,26,1.0061378477096256e-05,True
"(-90, 70)",[ 3.89751211e-06 -2.50318079e+03],-3.1407938294507582,15,8.120354890002507e-06,True
"(-90, 80)",[ 1.68994247e-06 -1.49451756e+04],-3.1414588356133524,35,3.3888503945748585e-06,True
"(-90, 90)",[-1.86629529e-06 -7.76866282e+04],-3.141566909295746,46,3.732259213904468e-06,True
"(-90, 100)",[ 2.01816497e-06 -4.25943878e+03],-3.141123163220491,38,4.148004932466352e-06,True
"(-80, -100)",[-1.35618315e-06 -6.11006447e+06],-3.141592326259192,53,2.7123662383785943e-06,True
"(-80, -90)",[-3.11531296e-06 -1.89332846e+07],-3.1415925479460163,57,6.230625909394516e-06,True
"(-80, -80)",[ 4.03929178e-06 -4.87654358e+06],-3.141592243446968,52,8.07858364512144e-06,True
"(-80, -70)",[-1.25428567e-06 -3.96082075e+06],-3.141592148642434,53,2.5085712185606414e-06,True
"(-80, -60)",[ 4.87845632e-06 -1.19402926e+07],-3.141592486065919,57,9.756912653545068e-06,True
"(-80, -50)",[-1.68664701e-06 -2.08398737e+03],-3.14063318464829,25,2.949145088249625e-06,True
"(-80, -40)",[-1.74784321e-06 -7.85876120e+06],-3.141592399093718,57,3.49568639287765e-06,True
"(-80, -30)",[ 3.48896885e-06 -1.99448761e+06],-3.1415916508140582,52,6.977938200454582e-06,True
"(-80, -20)",[ 4.22341902e-06 -3.35881374e+06],-3.141592058123724,53,8.446838224881148e-06,True
"(-80, -10)",[-1.94071658e-06 -4.50198630e+05],-3.1415882111074267,47,3.8814233019582555e-06,True
"(-80, 0)",[-1.61089673e-10 -5.89094512e+02],-3.1382004730568807,24,8.136416127936327e-06,True
"(-80, 10)",[-5.85446987e-06 -4.47360773e+02],-3.1371269374066766,28,1.0121657731401152e-05,True
"(-80, 20)",[ 7.26050243e-07 -1.14715636e+04],-3.141418317035366,38,1.4673757966889683e-06,True
"(-80, 30)",[-4.31860682e-06 -2.46154825e+04],-3.1415114055442785,45,8.633913650699642e-06,True
"(-80, 40)",[-3.46620266e-06 -4.52278063e+04],-3.141548433482816,39,6.931427687215681e-06,True
"(-80, 50)",[ 3.66306112e-06 -2.18013446e+03],-3.1406754889430313,31,7.758127274414184e-06,True
"(-80, 60)",[-2.96090810e-06 -9.80016579e+02],-3.1395529083861566,19,4.368632494249711e-06,True
"(-80, 70)",[ 9.49840481e-07 -1.28153221e+04],-3.141436596489111,39,1.911896649774297e-06,True
"(-80, 80)",[-4.52451649e-06 -6.91810788e+03],-3.141303578062557,41,9.007347569434244e-06,True
"(-80, 90)",[ 2.23473624e-06 -6.08787464e+04],-3.1415598016669426,49,4.470012135856192e-06,True
"(-80, 100)",[-2.29820432e-06 -5.60749182e+03],-3.141236019661901,38,4.5332608384618065e-06,True
"(-70, -100)",[-3.91723540e-07 -4.96840408e+06],-3.141592251045932,56,7.834469999624513e-07,True
"(-70, -90)",[ 8.97151589e-07 -1.59651044e+07],-3.1415925283157744,60,1.7943031856986297e-06,True
"(-70, -80)",[ 1.57007794e-06 -5.08653070e+07],-3.141592614267798,64,3.140155877284036e-06,True
"(-70, -70)",[-1.50891834e-06 -1.32880243e+07],-3.141592503076057,59,3.0178366760656914e-06,True
"(-70, -60)",[-3.97752339e-07 -3.68645968e+07],-3.141592599337042,65,7.955046757702519e-07,True
"(-70, -50)",[ 3.24488327e-06 -6.95365427e+04],-3.141563891930442,42,6.490180166709602e-06,True
"(-70, -40)",[-1.90608417e-07 -8.16669097e+07],-3.141592629100034,67,3.812168342670354e-07,True
"(-70, -30)",[-2.99465003e-06 -2.04598813e+07],-3.14159255582855,62,5.989300055121381e-06,True
"(-70, -20)",[-4.86144713e-07 -1.11462814e+07],-3.1415924741575254,61,9.722894092015382e-07,True
"(-70, -10)",[ 1.46819445e-07 -2.45093640e+07],-3.141592571988309,63,2.9363889327551317e-07,True
"(-70, 0)",[ 2.08994690e-14 -5.53276791e+02],-3.1379810675971673,23,9.223242720491803e-06,True
"(-70, 10)",[-9.22549817e-08 -5.29407277e+04],-3.1415548758485667,43,1.8379776967407337e-07,True
"(-70, 20)",[ 1.51295129e-06 -5.60978241e+04],-3.141557001898547,39,3.02653815896401e-06,True
"(-70, 30)",[ 4.18581464e-06 -2.41223798e+04],-3.1415097447313056,38,8.375066930249232e-06,True
"(-70, 40)",[-7.84043574e-06 -4.89465296e+02],-3.1375106992480584,17,1.1109754564246389e-05,True
"(-70, 50)",[-1.63363778e-06 -2.98190115e+03],-3.140922052843588,29,3.0507204852467406e-06,True
"(-70, 60)",[ 9.28219933e-07 -8.31815447e+02],-3.139189711840106,22,5.553025964495001e-06,True
"(-70, 70)",[ 2.84387479e-06 -3.87855181e+03],-3.1410770635983463,31,5.822183507332331e-06,True
"(-70, 80)",[ 3.17100502e-06 -1.46343188e+03],-3.1402264685724095,20,7.334852522916307e-06,True
"(-70, 90)",[-1.91223458e-06 -7.60031882e+04],-3.1415663390736723,39,3.824122949226249e-06,True
"(-70, 100)",[-8.87749288e-07 -6.23458196e+03],-3.141271887942248,34,1.7248206606116867e-06,True
"(-60, -100)",[ 6.5201686e-07 -6.1043476e+07],-3.1415926208258345,65,1.3040337210132526e-06,True
"(-60, -90)",[-3.75472649e-06 -1.62047785e+07],-3.1415925301553145,60,7.509452967999732e-06,True
"(-60, -80)",[ 5.97032169e-07 -5.11883726e+07],-3.1415926145180637,64,1.194064339220258e-06,True
"(-60, -70)",[-4.06592445e-07 -1.33751855e+07],-3.1415925040589965,59,8.131848780792346e-07,True
"(-60, -60)",[-3.88323209e-06 -3.43193937e+06],-3.1415920708139202,54,7.766464008913823e-06,True
"(-60, -50)",[ 2.18866552e-07 -3.06912764e+07],-3.1415925884246496,64,4.377331063134282e-07,True
"(-60, -40)",[ 7.16375674e-08 -2.14355986e+06],-3.141591720562646,54,1.4327557006558793e-07,True
"(-60, -30)",[-3.95267702e-07 -6.80505408e+07],-3.141592624199716,66,7.905354028322433e-07,True
"(-60, -20)",[ 3.40145125e-06 -2.92278756e+05],-3.141585810807275,48,6.8029259140939735e-06,True
"(-60, -10)",[ 3.48824179e-07 -2.44515681e+07],-3.141592571795328,63,6.976483608918958e-07,True
"(-60, 0)",[ 1.88447788e-14 -5.54763461e+02],-3.1379907374317257,23,9.173919020094319e-06,True
