x0,xf,f,nit,grad_norm,success
"(-100, -100)",[-2.55163932e-15 -3.38585546e+02],-3.135694338651215,200,2.460073920474405e-05,False
"(-100, -90)",[ 1.32331381e-14 -3.04824722e+02],-3.1350421158237567,200,3.034225407577287e-05,False
"(-100, -80)",[ 5.03239215e-17 -2.71061332e+02],-3.13422764339757,200,3.8356855207411415e-05,False
"(-100, -70)",[-1.57221273e-05 -3.56172100e+02],-3.1359851778888936,200,2.223444572223725e-05,False
"(-100, -60)",[-2.13593430e-05 -3.05509111e+02],-3.135056766691425,200,3.0206672485900813e-05,False
"(-100, -50)",[ 1.36713286e-14 -3.82479580e+02],-3.1363703748023077,200,1.9284606552975368e-05,False
"(-100, -40)",[ 1.95735762e-16 -3.06419031e+02],-3.1350761443725674,200,3.0027824295393216e-05,False
"(-100, -30)",[-1.66925850e-05 -3.45649412e+02],-3.135814709377567,200,2.3606880165930693e-05,False
"(-100, -20)",[-1.11679600e-16 -3.46944139e+02],-3.135836241184503,200,2.34312629690531e-05,False
"(-100, -10)",[ 3.26342143e-15 -3.91201248e+02],-3.136486657650175,200,1.8435348741383643e-05,False
"(-100, 0)",[-2.34482565e-05 -2.91561507e+02],-3.1347446270945802,200,3.3160842372814536e-05,False
"(-100, 10)",[-2.69014492e-05 -2.72174113e+02],-3.1342577014925426,200,3.804439437274161e-05,False
"(-100, 20)",[-6.84054412e-03  1.88077867e+01],3.031729360468049,200,0.009734507422075833,False
"(-100, 30)",[-5.11268263e-03  2.86400900e+01],3.0703606919840403,200,0.008091065388507056,False
"(-100, 40)",[1.30173005e-04 3.97330659e+01],3.0905519386930975,200,0.0020368394614250986,False
"(-100, 50)",[-3.09007263e-04  4.93294378e+01],3.1006006595815725,200,0.0008698758283175334,False
"(-100, 60)",[-3.01301800e-04  5.56831045e+01],3.1053267541723377,200,0.0006603540374513143,False
"(-100, 70)",[-1.11818297e-03  2.96612572e+01],3.072852454311999,200,0.0023716458746961488,False
"(-100, 80)",[-1.38777878e-16 -6.51687289e+00],-2.8453986394140727,200,0.06421852083037785,False
"(-100, 90)",[ 5.08902477e-16 -3.87547671e+02],-3.1364385820536045,200,1.878414422173934e-05,False
"(-100, 100)",[-9.79932707e-05  9.77086295e+01],3.121014164058998,200,0.00021236833776923188,False
"(-90, -100)",[-9.35221274e-15 -3.38585568e+02],-3.135694339038011,200,2.460073596857006e-05,False
"(-90, -90)",[-3.47289268e-15 -3.04824749e+02],-3.1350421164002134,200,3.034224871171554e-05,False
"(-90, -80)",[-8.73694156e-16 -2.71061365e+02],-3.1342276442880683,200,3.835684593046116e-05,False
"(-90, -70)",[-1.57221220e-05 -3.56172161e+02],-3.135985178847176,200,2.2234438125655893e-05,False
"(-90, -60)",[-2.13593323e-05 -3.05509187e+02],-3.13505676832573,200,3.0206657363064622e-05,False
"(-90, -50)",[ 4.33985801e-16 -3.82479726e+02],-3.136370376799384,200,1.9284591784626718e-05,False
"(-90, -40)",[-2.61105360e-15 -3.06419221e+02],-3.1350761484157985,200,3.0027787028568848e-05,False
"(-90, -30)",[-1.66925484e-05 -3.45649792e+02],-3.1358147157167537,200,2.360682837054103e-05,False
"(-90, -20)",[ 7.09243387e-15 -3.46944918e+02],-3.1358362540854023,200,2.3431157952427396e-05,False
"(-90, -10)",[ 5.46065370e-15 -3.91203751e+02],-3.1364866902704986,200,1.843511318902294e-05,False
"(-90, 0)",[-2.34367195e-05 -2.91633379e+02],-3.1347463119445123,200,3.314452660222238e-05,False
"(-90, 10)",[-1.80416225e-05 -3.32457224e+02],-3.135585772114029,200,2.5514707207470953e-05,False
"(-90, 20)",[-7.23535888e-03  1.87473208e+01],3.031363982863905,200,0.010354177802767065,False
"(-90, 30)",[9.11497720e-03 2.41391655e+01],3.0568129355553335,200,0.022139848432026717,False
"(-90, 40)",[-2.89742112e-04  3.96435602e+01],3.090434454727037,200,0.001500213007223042,False
"(-90, 50)",[-3.86632579e-04  4.77349684e+01],3.099214563213106,200,0.0009074424416940655,False
"(-90, 60)",[-8.92969438e-04  3.31483474e+01],3.0802227301161182,200,0.001889235772029823,False
"(-90, 70)",[-3.42327400e-03  5.08787805e+00],2.665193460659148,200,0.16693440367189985,False
"(-90, 80)",[ 8.04522397e-15 -3.20198337e+02],-3.135356147067344,200,2.750273328795214e-05,False
"(-90, 90)",[-1.23149595e-04  8.72317923e+01],3.1185271652789495,200,0.00026681046483476283,False
"(-90, 100)",[ 2.36744184e-15 -3.91536341e+02],-3.1364910221014854,200,1.840384585671763e-05,False
"(-80, -100)",[-2.68116421e-15 -3.38585593e+02],-3.13569433947551,200,2.4600732328495797e-05,False
"(-80, -90)",[ 4.88882006e-15 -3.04824779e+02],-3.135042117058613,200,3.034224262396682e-05,False
"(-80, -80)",[ 2.89448776e-15 -2.71061403e+02],-3.1342276453164244,200,3.8356835224191604e-05,False
"(-80, -70)",[-1.57221157e-05 -3.56172232e+02],-3.1359851799677996,200,2.2234429239182942e-05,False
"(-80, -60)",[-2.13593196e-05 -3.05509278e+02],-3.135056770264668,200,3.0206639448455614e-05,False
"(-80, -50)",[ 2.00580621e-14 -3.82479903e+02],-3.136370379208619,200,1.928457401872027e-05,False
"(-80, -40)",[ 5.23603581e-15 -3.06419456e+02],-3.1350761533896536,200,3.0027741200114247e-05,False
"(-80, -30)",[-1.66925023e-05 -3.45650270e+02],-3.1358147236971234,200,2.3606763150902665e-05,False
"(-80, -20)",[ 8.79779580e-15 -3.46945926e+02],-3.135836270781525,200,2.3431022031289333e-05,False
"(-80, -10)",[ 6.87089071e-15 -3.91207100e+02],-3.1364867339306324,200,1.8434797918043873e-05,False
"(-80, 0)",[-2.34206880e-05 -2.91733338e+02],-3.1347486538620983,200,3.312185457540857e-05,False
"(-80, 10)",[-1.25376089e-14 -3.02461238e+02],-3.13499101116503,200,3.081754684526331e-05,False
"(-80, 20)",[-8.09116583e-03  1.85797091e+01],3.0303370665110894,200,0.011740809421322594,False
"(-80, 30)",[1.71595647e-03 2.90588240e+01],3.0714042894097178,200,0.006396835935379886,False
"(-80, 40)",[-4.96332584e-04  3.89573933e+01],3.0895192067480237,200,0.0014057768659602606,False
"(-80, 50)",[-7.09981281e-04  3.68809980e+01],3.086538696041838,200,0.0015208267910783516,False
"(-80, 60)",[-0.01063513  6.65934522],2.7998175586612954,200,0.07284323030398564,False
"(-80, 70)",[-2.51972989e-15 -3.33708404e+02],-3.135608260928554,200,2.5324018231253177e-05,False
"(-80, 80)",[-1.60313361e-04  7.65381848e+01],3.115281329657126,200,0.0003472055959473472,False
"(-80, 90)",[ 1.19313230e-15 -3.78918716e+02],-3.1363213621531036,200,1.9648293645738736e-05,False
